ab	check	gene
100503620	NA	NA
114565	NA	NA
11516	11516	Adcyap1
11984	11984	Atp6v0c
12153	12153	Bmp1
14284	NA	NA
14860	NA	NA
16476	16476	Jun
16581	NA	NA
16835	16835	Ldlr
18030	18030	Nfil3
19418	19418	Rasgrf2
19944	NA	NA
20190	NA	NA
20356	20356	Sema5a
20677	20677	Sox4
20849	20849	Stat4
215707	NA	NA
21941	21941	Tnfrsf8
223881	NA	NA
231070	231070	Insig1
231148	NA	NA
232370	NA	NA
24066	24066	Spry4
26417	NA	NA
269589	269589	Sytl1
269615	NA	NA
286940	NA	NA
320506	320506	Lmbrd2
338372	NA	NA
433586	433586	Maml3
50706	NA	NA
52430	NA	NA
53324	53324	Nptx2
54006	NA	NA
64099	NA	NA
68203	NA	NA
69908	69908	Rab3b
70439	NA	NA
72168	NA	NA
72301	72301	1810041L15Rik
73826	NA	NA
74127	74127	Krt80
76645	76645	Pkd1l2
76795	NA	NA
81840	NA	NA
